Date,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Year,Month,Day
2015-01-04,10.32,0.08728210420159793,0.2037306144335284,-0.2310658843307286,-0.34216691854015524,-0.22293332349505451,-0.11283275098635448,0.6763131192520629,0.4629405596507245,-0.4173216109194991,0.062760804450079,0.3008807651098275,0.0,-0.028412558198665217,2.96,2015.0,1.0,2.56
2015-01-11,10.714285714285714,0.09825157197749071,0.204767174075873,0.22231741339896904,0.18793734080417415,0.021110361792175177,0.14262549383290846,0.6380285199332848,0.4466223388222479,-0.3850755619625408,0.3298401219842689,0.3452712781944031,0.0,0.014127340540767554,2.857142857142857,2015.0,1.0,8.0
2015-01-18,10.714285714285714,0.09825157197749071,0.204767174075873,0.23716235000307034,0.04265113827918866,0.12567808771615654,0.06320169506510308,0.7475069280510372,0.32105614804956506,-0.27544171675283174,0.4041654068150903,0.47648295880689173,0.0,0.014127340540767554,2.857142857142857,2015.0,1.0,15.0
2015-01-25,10.714285714285714,0.0958150810525161,0.1910405524963286,-0.0644496998067159,-0.2638897446388216,-0.29992872386148656,-0.11831866660962015,0.9672848323474255,0.13115149220969757,-0.22849449328087867,0.2509619866278228,0.020354849238378117,0.0,-0.0010654804376013052,2.795918367346939,2015.0,1.0,22.0
2015-02-01,10.714285714285714,0.22517113042424872,0.18990629348919807,0.05416879634193049,-0.11119922955873646,-0.08136833076151585,-0.09432722388080325,0.7305377747927856,-0.05265132872840065,0.031741755408427434,0.1879050068479222,-0.05235571625858227,0.0,0.172107974941855,2.5510204081632653,2015.0,1.1428571428571428,24.571428571428573
2015-02-08,10.714285714285714,0.2770152167007464,0.1786277229446753,-0.13484732997134807,-0.008604981069800257,0.023113026857750723,0.17117913910191265,0.5009068137657997,-0.20833785158971893,0.04071263588519999,0.17629523800757949,0.02881398692364542,0.0,0.2443665137414142,2.326530612244898,2015.0,2.0,5.0
2015-02-15,10.714285714285714,0.2994870250879222,0.176449667305216,-0.07115711349622161,0.007105751740941269,0.005110633343749298,0.41892056189026305,0.5602988501696805,0.08380244981018425,0.06629348207764207,0.1319049453827397,-0.015952910264679224,0.0,0.3219363639399153,2.4693877551020407,2015.0,2.0,12.0
2015-02-22,10.714285714285714,0.35475505304795735,0.17519711134642152,0.15778121681885987,0.054038783537981146,0.11640699000692198,0.38859095432706015,1.0422775419080859,0.19127251256536515,-0.019344987460905298,0.44525488280885234,0.578657936466019,0.0,0.3466401378884826,2.510204081632653,2015.0,2.0,19.0
2015-03-01,10.714285714285714,0.1454972928871899,0.16827326035197424,-0.3187674332712785,-0.2337687199882501,-0.2662855701655304,0.18139358091974436,0.5890369323005905,-0.21437986458068659,0.09915596197327428,-0.09926604005584896,0.07966385952609482,0.0,0.14468678585894534,2.306122448979592,2015.0,2.142857142857143,22.0
2015-03-08,10.714285714285714,0.04688076091663556,0.025792236581415755,-0.22450107871606284,-0.36441031698495296,-0.321258996116532,0.024050765807062457,1.1471031176808337,-0.14376009887932778,0.23461279796413004,0.39824670113177846,0.1737598854633377,0.0,0.04710687876210476,2.061224489795918,2015.0,3.0,5.0
2015-03-15,10.714285714285714,0.10439830687694704,0.08082537022431595,-0.3665653092028012,-0.18165735567640948,-0.006087557164435358,-0.10479689381277157,0.9037873556391289,-0.06823493649223292,0.18254018069792832,0.2951246367263814,0.4993891631007054,0.0,0.12875285166211942,2.0,2015.0,3.0,12.0
2015-03-22,10.714285714285714,0.10300185284560667,0.0540053636888399,0.02822540645579421,0.01276442731706964,0.2009966474465498,0.09577518313175463,0.8443953192352482,0.02006220385101622,0.4803030752891063,0.3959702758689661,0.6692847654873939,0.0,0.19928212628527894,2.0816326530612246,2015.0,3.0,19.0
2015-03-29,10.714285714285714,0.611679223198995,0.16456012779857013,0.2124677878909562,0.23199417207545933,0.28766994023742337,0.16206005127391582,0.903787355639129,0.12119114406122126,0.2368497527359731,0.4694988118578033,0.7110576982140789,0.0,0.6241870382006355,2.5510204081632653,2015.0,3.0,26.0
2015-04-05,10.714285714285714,0.20369845860342947,-0.022744306821870418,-0.19402565255323342,-0.29225341662599924,-0.07395145259412816,0.18068638635349146,0.8446690152555427,0.03776948944830736,0.0590464404585527,-0.002176502596904558,0.10518384231816527,0.0,0.3449108737120827,2.163265306122449,2015.0,3.7142857142857144,10.857142857142858
2015-04-12,10.714285714285714,0.1693421836901187,0.10066585661162056,-0.32138594312003443,-0.26624459720776944,-0.012570578037093733,0.11360924760703205,1.028045348852778,-0.012959490911499762,0.007187141044305108,0.030604021187592517,0.0013455510692381213,0.0,0.2808045803155507,2.122448979591837,2015.0,4.0,9.0
2015-04-19,10.714285714285714,0.21664049073488925,0.1645990962061771,-0.11057575791172525,-0.07519693132800664,0.0043198235537039685,0.11910196931334144,0.9057032277811896,0.08102073095790704,0.34714084754359464,-0.128518104682987,-0.21859202874771133,0.0,0.4813992247779167,2.204081632653061,2015.0,4.0,16.0
2015-04-26,10.714285714285714,0.1462276558742926,0.20452918844370205,0.0243379264495642,-0.02327594688803369,-0.12358353870042076,0.027783476976306568,0.9711165766315466,0.4889463407144219,0.350847965889716,0.06543332770862069,0.0034840971132663965,0.0,0.23152055128815918,2.142857142857143,2015.0,4.0,23.0
