Year,Month,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Day,Date
2015,1,10.66822429906542,0.11419104111130919,0.19810034418239936,0.06280470206203155,-0.08379744811036975,-0.0901992502869226,-0.008587721942862158,0.770962932780939,0.23894358693330614,-0.24961193687106717,0.2642785425402133,0.20851736563790477,0.0,0.03068060065924793,2.794392523364486,16.19626168224299,2015-01-16 04:42:37.009345792
2015,2,10.714285714285714,0.28859439149827254,0.18324304372062217,-0.05297357683495645,-0.01205525013226363,0.004396745325090648,0.29316754315433224,0.6710773143838313,-0.03533288555132028,0.052416291005925146,0.18315296911180154,0.18700699012495708,0.0,0.2766049387442944,2.413265306122449,14.5,2015-02-14 12:00:00.000000000
2015,3,10.714285714285714,0.20625746202946646,0.06211357592876951,-0.12432066047762703,-0.10698215005454703,0.008913711890371647,0.037990886299058016,0.9184521649845795,-0.01372559731757258,0.25774188370120077,0.3436492113607803,0.4575932352552673,0.0,0.2507855104883725,2.2119815668202767,16.0,2015-03-16 00:00:00.000000000
2015,4,10.714285714285714,0.1783003291812623,0.13578042787911798,-0.1497164374355917,-0.146631657373009,-0.07249173827746314,0.08907526789392949,0.9599771486055655,0.20192180971990717,0.22597207971227382,0.04268804529102113,-0.053901805843005655,0.0,0.2968332123125128,2.085714285714286,15.5,2015-04-15 12:00:00.000000000
2015,5,10.714285714285714,0.09310340820207835,0.204767174075873,-0.18528580739799358,-0.08496252118222139,-0.08639571485340045,0.21888141085341262,1.057754610410539,0.22819228022527943,0.22959843360110777,0.269988495840554,-0.15228483731950077,0.0,0.32383297626241814,2.193548387096774,16.0,2015-05-16 00:00:00.000000000
2015,6,12.0,-0.13842549979051894,0.11956981386717873,-0.3642041183026442,-0.3577480954073231,-0.1829574522683899,0.2803158770884009,0.7703137893421512,-0.33435731796570534,-0.11806745638719753,-0.20729854345523738,-0.3683914367397348,0.0,0.12930353995638952,2.0791666666666666,15.5,2015-06-15 12:00:00.000000000
2015,7,12.0,-0.41533911511081195,-0.012318046733932723,-0.37420601373201096,-0.5571421597411311,-0.2767162407239029,0.27174645593685676,0.6819501095126227,-0.3280135138874966,-0.6195381972810697,-0.303943749628341,-0.42193479786458504,0.0,-0.0440854093651719,1.8870967741935485,16.0,2015-07-16 00:00:00.000000000
2015,8,12.0,-0.352481908911889,0.09233801496954336,-0.12975414963308382,-0.42689573089037697,0.010252910353082876,0.3492481966132754,0.5153387607714032,-0.31241157360261224,-0.5825065110986785,-0.21558494559167038,-0.23381268947630632,0.0,0.01690253063031208,2.282258064516129,16.0,2015-08-16 00:00:00.000000000
2015,9,12.0,-0.19622158184867847,0.06324154896062535,-0.1742316484083857,-0.3682439818201468,0.039580437427032836,0.2991457078475201,0.4505148148292661,-0.4741241087018746,-0.32080149987649315,-0.3754523865560247,-0.18879515188110704,0.0,0.08580173801883441,2.2666666666666666,15.5,2015-09-15 12:00:00.000000000
2015,10,12.0,0.6338618078432781,0.17518826713409594,0.2039992151580129,-0.08554369943871072,0.41915311418191725,0.26016689533314935,0.7054195432528659,-0.19640169186311215,0.03173831479791205,0.13580378260201198,0.18883529369180957,0.0,0.6120413480492288,2.6129032258064515,16.0,2015-10-16 00:00:00.000000000
2015,11,12.0,0.6567202296870693,0.1160696084118209,0.23290429967177512,-0.03607745678793176,0.41437962128423594,0.33696217709966303,0.5843986821206019,-0.21816225199418088,0.24418984328073762,-0.018157661014668154,0.06972974832612572,0.0,0.5756739896593847,3.2008196721311477,15.71311475409836,2015-11-15 17:06:53.114754048
2015,12,12.0,0.5667331561746224,0.03956218133301162,0.3302066611006104,0.10209402253341704,0.416334771436141,0.31827633309608117,0.5607334284384635,-0.3703961584054922,-0.04038019822918738,-0.1645451862168497,-0.12970311970142376,0.0,0.434118503584168,3.028673835125448,16.0,2015-12-16 00:00:00.000000000
2016,1,12.0,0.7501492811882228,0.20423774845209486,0.2577788375128498,0.0935838165555422,0.24038486057286285,0.23522399556583196,0.36509472834058376,-0.21268523206448264,0.06777149809633988,-0.024514435440145997,-0.12910218059801223,0.0,0.6035213130367435,2.924731182795699,16.0,2016-01-16 00:00:00.000000000
2016,2,12.0,0.729256963325354,0.27618010303501195,-0.0007944431005692516,0.0028187987712152912,-0.040626409744632525,-0.015013518721618067,0.17407391707158393,-0.3266717796289323,0.22623868616172754,0.0032001347719101667,-0.12687398589561183,0.0,0.5186848863547715,3.0421455938697317,15.0,2016-02-15 00:00:00.000000000
2016,3,12.0,0.4141709773324232,0.24911964683131532,-0.14605385905276516,-0.013770086198962512,-0.20820121166541308,0.16223767418488894,0.025875488391999643,-0.37621142705713095,0.4070300979498839,-0.1989081927243663,-0.271683329258832,0.0,0.26026857210088694,2.5089605734767026,16.0,2016-03-16 00:00:00.000000000
2016,4,12.0,0.3792287917928777,0.23781660530404836,-0.13724606403621703,0.14240592793046225,-0.18738040664054806,0.31663228249483294,0.0611705685374222,-0.22188529875996885,0.4839230301245493,-0.05160570469700273,-0.2259488031511886,0.0,0.28111292001261245,2.433333333333333,15.5,2016-04-15 12:00:00.000000000
2016,5,12.0,0.12310724326995394,-0.09521305931739327,-0.39718461984670506,-0.07901739922154481,-0.22324469748565193,0.40296478346551623,-0.10833169850561224,-0.4304294828417409,0.3664257484507689,-0.2144005313185055,-0.22389197778474348,0.0,0.04420352124320319,2.3189964157706093,16.0,2016-05-16 00:00:00.000000000
