Year,Month,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Day,Date
2015,1,10.66822429906542,0.46013757718405,0.5700951619406766,0.40233253087570553,0.36712942949720934,0.38218385179430797,0.48539844273216026,0.6143089776267346,0.4974812752701001,0.3803406854076355,0.37893172149861204,0.4047341110818487,0.0,0.44489843206920515,2.794392523364486,16.19626168224299,2015-01-16 04:42:37.009345792
2015,2,10.714285714285714,0.5059871984319845,0.5659137964259864,0.368419267099728,0.3857312210040121,0.408468116603934,0.5651236332627633,0.5860969387755102,0.4237468036860134,0.45095153179163483,0.3533678849395646,0.3976988358176477,0.0,0.5120593692022263,2.413265306122449,14.5,2015-02-14 12:00:00.000000000
2015,3,10.714285714285714,0.484341301019541,0.5318237152069487,0.34752059344287195,0.36111794666189717,0.40972319240888694,0.49770473477164234,0.6559663454824745,0.4295555482926794,0.4989543757192376,0.40394256234156456,0.48619792854861527,0.0,0.5050081882926457,2.2119815668202767,16.0,2015-03-16 00:00:00.000000000
2015,4,10.714285714285714,0.4769915342322387,0.552556151433397,0.34008177425350017,0.3508373602110811,0.38710402766184926,0.5112014737746133,0.6676948051948052,0.4875286127059177,0.49152694827353044,0.3091053644656457,0.3189061763319189,0.0,0.5175836284927193,2.085714285714286,15.5,2015-04-15 12:00:00.000000000
2015,5,10.714285714285714,0.4545937617713389,0.5719714417319208,0.3296629509874061,0.3668273416467731,0.3832406949714498,0.5454968802728368,0.6953114090210865,0.49459097297120636,0.4923747495508427,0.3807310100183846,0.28672860196335126,0.0,0.5249571542826674,2.193548387096774,16.0,2015-05-16 00:00:00.000000000
2015,6,12.0,0.39372616538712424,0.5479939160141256,0.27725498699045964,0.29609769409196346,0.35641023285439555,0.5617281613547187,0.6141256313131314,0.3433592723929603,0.41109432446117605,0.23033099004100763,0.21604785478547855,0.0,0.471831955922865,2.0791666666666666,15.5,2015-06-15 12:00:00.000000000
2015,7,12.0,0.32092719476723003,0.5108760456753986,0.2743252758115808,0.24439748254333707,0.33035859284521274,0.5594640791229678,0.5891678885630499,0.3450646940694984,0.29385603286099904,0.19987669369011848,0.1985357344667469,0.0,0.4244801386296987,1.8870967741935485,16.0,2015-07-16 00:00:00.000000000
2015,8,12.0,0.3374519868112444,0.5403299325666285,0.3459290397187328,0.27816863790613683,0.41009529956626517,0.5799404112919879,0.5421096041055719,0.34925900505859325,0.3025136299430514,0.22771982538692667,0.2600637545144092,0.0,0.4411356971474273,2.282258064516129,16.0,2015-08-16 00:00:00.000000000
2015,9,12.0,0.3785319132921872,0.5321411663851784,0.3329008865760817,0.29337625125590744,0.4182441908891583,0.5667030930910257,0.5238005050505051,0.3057853953244024,0.3636973559650397,0.1773432923257176,0.27478738258441227,0.0,0.45995179063360875,2.2666666666666666,15.5,2015-09-15 12:00:00.000000000
2015,10,12.0,0.596755983742285,0.5636468997488894,0.44369060608604016,0.3666766499052293,0.5237115384843345,0.5564047035886458,0.5957966764418379,0.3804462492691731,0.4461172505331603,0.33844747434661826,0.39829680858904754,0.0,0.6036656891495601,2.6129032258064515,16.0,2015-10-16 00:00:00.000000000
2015,11,12.0,0.6027653292137909,0.547008835418696,0.4521573561960009,0.3795025844088741,0.5223851847568032,0.5766943859201689,0.5616151266766021,0.37459630017181467,0.49578605913159474,0.2899320061079259,0.3593416403431012,0.0,0.59373391139412,3.2008196721311477,15.71311475409836,2015-11-15 17:06:53.114754048
2015,12,12.0,0.579108253655315,0.5254769617093358,0.4806587355617935,0.415328599264268,0.5229284390880544,0.5717574961763201,0.5549310307374824,0.33367085532875207,0.42925674288924254,0.24380318864133138,0.2941142749510683,0.0,0.5550756835214313,3.028673835125448,16.0,2015-12-16 00:00:00.000000000
2016,1,12.0,0.6273272806635599,0.5718224427901848,0.4594434963178493,0.41312201678224425,0.47403932892604694,0.5498146696560329,0.4996741609644835,0.3760687019666658,0.45454140872690374,0.28792889493609486,0.2943108206602298,0.0,0.6013389022186676,2.924731182795699,16.0,2016-01-16 00:00:00.000000000
2016,2,12.0,0.6218348124347179,0.5920695449654773,0.3837033492504976,0.3895878627624503,0.3959580677085115,0.48370071635667433,0.44572158365261816,0.3454253960490204,0.4915892779013923,0.2966621551555798,0.2950395835339502,0.0,0.57817041892277,3.0421455938697317,15.0,2016-02-15 00:00:00.000000000
2016,3,12.0,0.5390005487221572,0.5844537833624177,0.3411546005900145,0.38528658696881274,0.34939604951091396,0.5305313329548512,0.403863907896166,0.3321075212328167,0.5338563027257045,0.23297491039426524,0.24767762136015092,0.0,0.5075979738736337,2.5089605734767026,16.0,2016-03-16 00:00:00.000000000
2016,4,12.0,0.529814452417192,0.5812727109882799,0.343734541132633,0.4257809366691889,0.35518127909999436,0.5713231301102161,0.41383277216610553,0.37359542363482473,0.5518330165579356,0.27939204582438326,0.26263575075456264,0.0,0.5132904805632078,2.433333333333333,15.5,2016-04-15 12:00:00.000000000
2016,5,12.0,0.46248159460709165,0.48754648134115014,0.2675944836647631,0.3683688321824934,0.34521609493248995,0.5941325915678455,0.3659579667644184,0.3175319374892318,0.5243634566259953,0.2280930513823535,0.26330846484152143,0.0,0.4485914867146538,2.3189964157706093,16.0,2016-05-16 00:00:00.000000000
2016,6,12.0,0.42944452807466504,0.49091340111799203,0.25587892026168985,0.3086691722794875,0.31327184311419787,0.5523061782785056,0.4083754208754209,0.26066894317485334,0.43233604121260155,0.21430059233222679,0.255975853995656,0.0,0.4099785736149372,2.1296296296296298,15.5,2016-06-15 12:00:00.000000000
