Date,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Year,Month,Day
2015-01-04,10.32,0.4530633749811831,0.5716797174881008,0.3162532523850824,0.3001376846649053,0.3453026127218608,0.4578564053142424,0.5875757575757575,0.5576989755713161,0.3411320256257843,0.31543057996485063,0.434942878903275,0.0,0.42876033057851237,2.96,2015.0,1.0,2.56
2015-01-11,10.714285714285714,0.4559471839315283,0.5719714417319208,0.4490562920745054,0.4375866224880903,0.41311213053185114,0.5253497006980667,0.5767625231910947,0.5533121049838376,0.3486707938574677,0.39959111940030845,0.44946142965944946,0.0,0.4403778040141676,2.857142857142857,2015.0,1.0,8.0
2015-01-18,10.714285714285714,0.4559471839315283,0.5719714417319208,0.4534046055542772,0.39991585515239103,0.4421671215063029,0.5043655515486293,0.6076839826839827,0.5195558128688829,0.3743019696485687,0.42301208708439436,0.49237608219220663,0.0,0.4403778040141676,2.857142857142857,2015.0,1.0,15.0
2015-01-25,10.714285714285714,0.4553066447111736,0.5681082889166722,0.36505773167896816,0.32043390794341037,0.323908816089549,0.4564070000547888,0.6697588126159555,0.46850324053971476,0.3852777092608392,0.374735482945375,0.343192875017486,0.0,0.4362287063585764,2.795918367346939,2015.0,1.0,22.0
2015-02-01,10.714285714285714,0.489313593870485,0.5677890686445007,0.3998029393891121,0.36002451440145145,0.38463759442703327,0.46274565446747284,0.6028911564625851,0.41909104067158787,0.4461180549096992,0.3548653204691367,0.3194118469931766,0.0,0.48352167313206273,2.5510204081632653,2015.0,1.1428571428571428,24.571428571428573
2015-02-08,10.714285714285714,0.502943101070023,0.5646148832633008,0.34443716775522004,0.3866258295823819,0.4136685872673399,0.532893710936567,0.5380333951762523,0.3772374197906113,0.4482153471652183,0.3512069151034755,0.3459595567092031,0.0,0.5032551863720695,2.326530612244898,2015.0,2.0,5.0
2015-02-15,10.714285714285714,0.5088508081239419,0.5640019020044684,0.3630930255883793,0.39069941227709787,0.4086664761814769,0.5983481848718009,0.5548082869511441,0.4557742718836944,0.45419586499152864,0.33721889458771204,0.33131790416090273,0.0,0.5244391971664698,2.4693877551020407,2015.0,2.0,12.0
2015-02-22,10.714285714285714,0.5233804495755852,0.5636493888204753,0.4301526334731638,0.4028685191190308,0.43959107179416795,0.5903349568642766,0.6909400123685838,0.48466573390585554,0.4341745416216814,0.4359599727412934,0.5257938666708115,0.0,0.5311856974194636,2.510204081632653,2015.0,2.0,19.0
2015-03-01,10.714285714285714,0.4683678077583584,0.5617007742756246,0.2905641007487123,0.3282438863983803,0.3332568392807459,0.5355924155302652,0.5629251700680272,0.37561312941252156,0.46187874793269795,0.26437358774792874,0.3625907331706483,0.0,0.47603305785123967,2.306122448979592,2015.0,2.142857142857143,22.0
2015-03-08,10.714285714285714,0.4424420980193974,0.5216016162337805,0.3181761863461776,0.2943702692255409,0.31798202689740873,0.4940216879758028,0.7205473098330241,0.39459802833663016,0.4935470522665179,0.42114701768229257,0.39336618120210765,0.0,0.4493843818519143,2.061224489795918,2015.0,3.0,5.0
2015-03-15,10.714285714285714,0.45756312460254306,0.5370898704944899,0.27656335734640775,0.3417556655379005,0.4055549681012301,0.4599795173800227,0.6518243661100804,0.41490165806275237,0.48137305249026496,0.38865177002259604,0.4998678831776427,0.0,0.47168156518805865,2.0,2015.0,3.0,12.0
2015-03-22,10.714285714285714,0.4571960050014285,0.5295417798625669,0.3922037158315191,0.39216663110002686,0.4630949943641881,0.5129716235637228,0.6350494743351887,0.4386388124989949,0.5509867113082602,0.4204296832968688,0.5554346643455554,0.0,0.49094282341035583,2.0816326530612246,2015.0,3.0,19.0
2015-03-29,10.714285714285714,0.5909243119195593,0.560655768525743,0.4461711831306677,0.44900996903803764,0.4871778719204582,0.5304844041285542,0.6518243661100804,0.46582557372830935,0.49407002745619744,0.4435995839460565,0.5690970980928548,0.0,0.6069826277618485,2.5510204081632653,2015.0,3.0,26.0
2015-04-05,10.714285714285714,0.4836685539788699,0.5079417303540487,0.3271029140190334,0.31307958750798354,0.38669843419674116,0.5354055713288274,0.6351267779839208,0.4433991090526045,0.4525015871218708,0.2949678992862523,0.3709374077125138,0.0,0.530713442401754,2.163265306122449,2015.0,3.7142857142857144,10.857142857142858
2015-04-12,10.714285714285714,0.4746364901522855,0.5426736793289403,0.289797098371005,0.3198233261972225,0.40375360815696576,0.5176834690646409,0.6869202226345085,0.429761502709831,0.44037745869102546,0.3052975144363545,0.33697561278890836,0.0,0.5132062742452352,2.122448979591837,2015.0,4.0,9.0
2015-04-19,10.714285714285714,0.4870709385666053,0.5606667356025783,0.35154668979473835,0.3693594283618259,0.40844674326571107,0.5191346725239279,0.6523654916512059,0.45502645502645506,0.5198548609061219,0.2551558408952333,0.26504188880426505,0.0,0.5679878562995446,2.204081632653061,2015.0,4.0,16.0
2015-04-26,10.714285714285714,0.46855981591793716,0.5719044642269622,0.3910650123015381,0.38282184454922896,0.37290775642193813,0.4950078881969252,0.6708410636982066,0.5646901786719417,0.5207215440168538,0.3162727305333381,0.3376750547896234,0.0,0.4997470062405127,2.142857142857143,2015.0,4.0,23.0
2015-05-03,10.714285714285714,0.4927973899178819,0.5643501066939904,0.341622859030863,0.37117066898951,0.3679956383391191,0.4816197284999219,0.6876932591218305,0.513131020729805,0.4924984061387583,0.38761163516373154,0.2919781774095777,0.0,0.49849890369370886,2.1020408163265305,2015.0,4.428571428571429,17.142857142857142
