Year,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Month,Day,Date
2015,11.512674044983934,0.4665553253141834,0.5456172692924645,0.36822608784146493,0.34141030137752554,0.4241346707089311,0.5497981119596898,0.5973069682905456,0.3924560883777577,0.41890027623476295,0.2899403865930383,0.32106583629554564,0.0,0.5053602461930656,2.4334166369153873,6.788289896465548,15.761870760442699,2015-07-10 00:34:26.690467584
2016,12.687751581368603,0.49902598445297364,0.5340968381721981,0.3722553078442432,0.41126741940617456,0.3771503708513632,0.5397529487734226,0.4147204506247059,0.36326231165524964,0.45698245577255225,0.28070189622745434,0.30865866920217033,0.0,0.49534024969228063,2.54169062679701,6.671362852213916,15.761069580218516,2016-07-06 07:32:32.156411648
2017,13.192151844743016,0.47627309514354965,0.5323456635132707,0.3588015254218583,0.41003865031935366,0.3238837299082018,0.5041950037129441,0.26975448664508167,0.3766126176634247,0.4294253622122518,0.21583101609008257,0.23383014515832212,0.0,0.4527603728790258,2.6255065045851995,7.000213265088505,15.874173597782043,2017-07-16 13:38:07.140115200
2018,13.261937876680575,0.45108777793061516,0.5581820412288128,0.415845034413997,0.44782031138838396,0.46959423788898697,0.48058075947805606,0.4229692614602211,0.48015964783901605,0.4485456040474472,0.3185071478835274,0.3781986843169179,0.0,0.46140377092456997,2.3205068768351107,6.592489568845619,15.738062123319425,2018-07-04 00:50:04.172461824
2019,13.127182379801235,0.4040794760966297,0.5035959636131774,0.4014801919294491,0.3849276457095736,0.43730702012858064,0.45081254221094236,0.41142539415101864,0.4772965826765954,0.4276289759597593,0.32441569930329067,0.390484399583577,0.0,0.42179638299336486,2.152699435938759,6.821246306741875,15.779344614558152,2019-07-11 01:11:10.104754176
2020,12.659707275075334,0.32250416658863457,0.4186942309625591,0.3549580928152018,0.30348032667617436,0.36871316773200946,0.46347414722377345,0.32928129769498693,0.4314410627001646,0.45032338150812695,0.3129263640813535,0.32589548732680484,0.0,0.32353041628273493,1.978906586310805,3.5693069306930694,15.65992251399053,2020-04-02 14:00:15.497201920
